FilterProfileService,filterID,WavelengthUnit,WavelengthUCD,PhotSystem,DetectorType,Band,Instrument,Facility,ProfileReference,CalibrationReference,Description,Comments,WavelengthRef,WavelengthMean,WavelengthEff,WavelengthMin,WavelengthMax,WidthEff,WavelengthCen,WavelengthPivot,WavelengthPeak,WavelengthPhot,FWHM,Fsun,PhotCalID,MagSys,ZeroPoint,ZeroPointUnit,Mag0,ZeroPointType,AsinhSoft,TrasmissionCurve
ivo://svo/fps,SLOAN/SDSS.uprime_filter,Angstrom,em.wl,SDSS,1,,,SLOAN,http://filters.apo.nmsu.edu/curves/SDSS/,,SDSS u' filter (filter only transmission) at USNO 40-in,"See <a href=""http://classic.sdss.org/dr7/algorithms/fluxcal.html"" target=""_blank"">http://classic.sdss.org/dr7/algorithms/fluxcal.html</a> for more details.",3501.0166822706,3517.4302930627,3542.1014280891,3044.9020213631,3987.6975695169,563.5553928737,3523.129471138,3501.0166822706,3605.0,3554.663318167,603.9414339043,99.482990101555,SLOAN/SDSS.uprime_filter/Vega,Vega,1456.606023171,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.uprime_filter
ivo://svo/fps,SLOAN/SDSS.u,Angstrom,em.wl,SDSS,1,,,SLOAN,http://www.sdss.org/dr7/instruments/imager/index.html,http://www.sdss.org/DR2/algorithms/fluxcal.html,SDSS u full transmission,,3556.5239668607,3572.1824003193,3608.0403153219,3055.1091291961,4030.6399499061,540.97112586776,3578.0271197298,3556.5239668607,3680.0,3619.6973042374,565.79845192387,103.21344236463,SLOAN/SDSS.u/Vega,Vega,1582.537065543,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.u
ivo://svo/fps,SLOAN/SDSS.g,Angstrom,em.wl,SDSS,1,g,,SLOAN,http://www.sdss.org/dr7/instruments/imager/index.html,http://www.sdss.org/DR2/algorithms/fluxcal.html,SDSS g full transmission,,4702.4953002767,4750.8231056844,4671.7822137652,3797.6384743979,5553.0413712781,1064.6831251068,4747.3276268194,4702.4953002767,5180.0,4703.954046074,1175.631602652,187.21772917722,SLOAN/SDSS.g/Vega,Vega,4023.5732569791,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.g
ivo://svo/fps,SLOAN/SDSS.gprime_filter,Angstrom,em.wl,SDSS,1,g,,SLOAN,http://filters.apo.nmsu.edu/curves/SDSS/,,SDSS u'  filter (filter only transmission) at USNO 40-in,"See <a href=""http://classic.sdss.org/dr7/algorithms/fluxcal.html"" target=""_blank"">http://classic.sdss.org/dr7/algorithms/fluxcal.html</a> for more details.",4763.1056433902,4820.0855543848,4723.5878528068,3863.5469627704,5690.4504510006,1264.5235097391,4787.1872769032,4763.1056433902,5296.0,4761.5052566298,1401.2584692877,187.85872184839,SLOAN/SDSS.gprime_filter/Vega,Vega,3996.2326056101,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.gprime_filter
ivo://svo/fps,SLOAN/SDSS.r,Angstrom,em.wl,SDSS,1,,,SLOAN,http://www.sdss.org/dr7/instruments/imager/index.html,http://www.sdss.org/DR2/algorithms/fluxcal.html,SDSS r full transmission,,6175.5788653918,6204.2897962265,6141.1230039377,5418.2260933102,6994.4222709001,1055.5126512194,6187.5839710928,6175.5788653918,6530.0,6160.3101250449,1130.5579503184,169.25274970171,SLOAN/SDSS.r/Vega,Vega,3177.3783043241,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.r
ivo://svo/fps,SLOAN/SDSS.rprime_filter,Angstrom,em.wl,SDSS,1,,,SLOAN,http://filters.apo.nmsu.edu/curves/SDSS/,,SDSS r' filter (filter only transmission) at USNO 40-in,"See <a href=""http://classic.sdss.org/dr7/algorithms/fluxcal.html"" target=""_blank"">http://classic.sdss.org/dr7/algorithms/fluxcal.html</a> for more details.",6246.9846559104,6287.0560134698,6201.7109011203,5409.0336509023,7176.1435733922,1253.707840909,6256.5938374207,6246.9846559104,6783.0,6228.620668541,1368.7983301361,166.29095534173,SLOAN/SDSS.rprime_filter/Vega,Vega,3148.7727952813,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.rprime_filter
ivo://svo/fps,SLOAN/SDSS.i,Angstrom,em.wl,SDSS,1,,,SLOAN,http://www.sdss.org/dr7/instruments/imager/index.html,http://www.sdss.org/DR2/algorithms/fluxcal.html,SDSS i full transmission,,7489.9769680118,7519.2690306904,7457.889035897,6692.4081035994,8400.3173873874,1102.565344818,7543.909405708,7489.9769680118,7105.0,7477.1192580547,1253.3047916415,126.83886725213,SLOAN/SDSS.i/Vega,Vega,2593.3980773509,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.i
ivo://svo/fps,SLOAN/SDSS.iprime_filter,Angstrom,em.wl,SDSS,1,,,SLOAN,http://filters.apo.nmsu.edu/curves/SDSS/,,SDSS i' filter (filter only transmission) at USNO 40-in,"See <a href=""http://classic.sdss.org/dr7/algorithms/fluxcal.html"" target=""_blank"">http://classic.sdss.org/dr7/algorithms/fluxcal.html</a> for more details.",7718.2832803766,7759.379456572,7672.5942580956,6728.4408332923,8730.6194867157,1478.9304599435,7741.3516043209,7718.2832803766,8292.0,7700.0688991776,1548.9963772206,120.37558956701,SLOAN/SDSS.iprime_filter/Vega,Vega,2508.9130992369,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.iprime_filter
ivo://svo/fps,SLOAN/SDSS.z,Angstrom,em.wl,SDSS,1,z,,SLOAN,http://www.sdss.org/dr7/instruments/imager/index.html,http://www.sdss.org/DR2/algorithms/fluxcal.html,SDSS z full transmission,,8946.7096125035,8992.2620587087,8922.7797236408,7964.7001090513,10873.325548809,1164.0149198605,8790.5193502726,8946.7096125035,8680.0,8951.4719451657,998.49633079646,90.54973869077,SLOAN/SDSS.z/Vega,Vega,2238.9943970249,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.z
ivo://svo/fps,SLOAN/SDSS.zprime_filter,Angstrom,em.wl,SDSS,1,z,,SLOAN,http://filters.apo.nmsu.edu/curves/SDSS/,,SDSS z' filter (filter only transmission) at USNO 40-in,"See <a href=""http://classic.sdss.org/dr7/algorithms/fluxcal.html"" target=""_blank"">http://classic.sdss.org/dr7/algorithms/fluxcal.html</a> for more details.",10829.8321077,11128.810874696,10500.613124952,8066.1108587042,13500.0,4306.7190388685,11007.147685613,10829.8321077,13500.0,10693.721576658,4985.7046287743,60.773774721058,SLOAN/SDSS.zprime_filter/Vega,Vega,1909.0599339633,Jy,0.0,Pogson,0.0,http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=SLOAN/SDSS.zprime_filter
